Location,period_code,period_start,period_end,Confirmed,Probable
BEYLA,2014-W51,15 December 2014,21 December 2014,3,0
CONAKRY,2014-W51,15 December 2014,21 December 2014,39,6
COYAH,2014-W51,15 December 2014,21 December 2014,35,0
DABOLA,2014-W51,15 December 2014,21 December 2014,1,0
DUBREKA,2014-W51,15 December 2014,21 December 2014,5,1
FORECARIAH,2014-W51,15 December 2014,21 December 2014,15,0
FRIA,2014-W51,15 December 2014,21 December 2014,1,0
GUECKEDOU,2014-W51,15 December 2014,21 December 2014,7,0
KANKAN,2014-W51,15 December 2014,21 December 2014,2,0
KEROUANE,2014-W51,15 December 2014,21 December 2014,17,0
KINDIA,2014-W51,15 December 2014,21 December 2014,21,6
KISSIDOUGOU,2014-W51,15 December 2014,21 December 2014,117,31
LOLA,2014-W51,15 December 2014,21 December 2014,14,1
MACENTA,2014-W51,15 December 2014,21 December 2014,24,2
N'ZEREKORE,2014-W51,15 December 2014,21 December 2014,18,0
TELIMELE,2014-W51,15 December 2014,21 December 2014,6,0
